Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
11_2	42.023776894015604	42.0	125.0	18.181818181818183	12258611.0
19_T33_Ac_WK	40.3503988509062	42.0	50.0	9.090909090909092	19665420.0
1_2	41.94172484406785	41.0	50.0	18.181818181818183	13929799.0
24_T12_Ac_FM	46.07661820922826	41.0	50.0	9.090909090909092	13786799.0
25_ctl1_Ac_GF_2	36.74642532721249	43.0	125.0	0.0	14630151.0
27_ctl2_Ac_YG_2	38.338837335466295	44.0	125.0	9.090909090909092	15708593.0
28_2	40.97573158067345	41.0	50.0	18.181818181818183	13471856.0
2_2	33.36996877182594	45.0	50.0	18.181818181818183	11635325.0
31_2	1.7449445531637338	43.0	50.0	18.181818181818183	6132.0
31_T22_Ac_UV	42.01584593998399	43.0	50.0	18.181818181818183	13317263.0
35_2	46.33462115473272	41.0	50.0	18.181818181818183	18193298.0
35_T43_Ac_MT	53.56303975266831	42.0	50.0	18.181818181818183	23846590.0
36_2	40.56631320086045	42.0	50.0	18.181818181818183	16274979.0
37_T13_Ac_ML	48.445211034951186	42.0	50.0	9.090909090909092	14171723.0
38_2	40.28059256748563	42.0	50.0	18.181818181818183	15506141.0
38_T23_Ac_IN	50.84874540136134	45.0	50.0	18.181818181818183	21348241.0
39_2	43.13968370854027	42.0	125.0	18.181818181818183	14861455.0
41_2	42.58015714256117	43.0	125.0	18.181818181818183	14403072.0
41_ctl3_Ac_RN_2	40.617753574495495	44.0	125.0	9.090909090909092	16449541.0
42_2	43.2610088539598	43.0	50.0	18.181818181818183	18099916.0
45_T41_Ac_SC_2	42.14329556975055	44.0	125.0	9.090909090909092	20233577.0
47_2	38.71861227910238	42.0	50.0	18.181818181818183	11361956.0
47_T31_Ac_JB	49.927552480178264	43.0	50.0	9.090909090909092	14229140.0
4_2	39.52956428327641	43.0	125.0	18.181818181818183	13298701.0
52_T11_Ac_II	48.52311923585948	42.0	50.0	18.181818181818183	17303453.0
53_T21_Ac_NH	39.42402877551078	44.0	50.0	18.181818181818183	10306635.0
54_T42_Ac_JQ	50.333711952943446	43.0	50.0	27.27272727272727	23542186.0
57_T32_Ac_NM	39.140654051598666	44.0	50.0	18.181818181818183	11679142.0
