Module	Section	Sample Name	Source
FastQC	all_sections	11_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/11_2_fastqc.zip
FastQC	all_sections	1_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/1_2_fastqc.zip
FastQC	all_sections	19_T33_Ac_WK	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/19_T33_Ac_WK_fastqc.zip
FastQC	all_sections	2_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/2_2_fastqc.zip
FastQC	all_sections	24_T12_Ac_FM	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/24_T12_Ac_FM_fastqc.zip
FastQC	all_sections	25_ctl1_Ac_GF_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/25_ctl1_Ac_GF_2_fastqc.zip
FastQC	all_sections	27_ctl2_Ac_YG_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/27_ctl2_Ac_YG_2_fastqc.zip
FastQC	all_sections	28_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/28_2_fastqc.zip
FastQC	all_sections	31_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/31_2_fastqc.zip
FastQC	all_sections	31_T22_Ac_UV	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/31_T22_Ac_UV_fastqc.zip
FastQC	all_sections	35_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/35_2_fastqc.zip
FastQC	all_sections	35_T43_Ac_MT	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/35_T43_Ac_MT_fastqc.zip
FastQC	all_sections	36_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/36_2_fastqc.zip
FastQC	all_sections	37_T13_Ac_ML	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/37_T13_Ac_ML_fastqc.zip
FastQC	all_sections	38_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/38_2_fastqc.zip
FastQC	all_sections	38_T23_Ac_IN	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/38_T23_Ac_IN_fastqc.zip
FastQC	all_sections	39_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/39_2_fastqc.zip
FastQC	all_sections	41_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/41_2_fastqc.zip
FastQC	all_sections	41_ctl3_Ac_RN_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/41_ctl3_Ac_RN_2_fastqc.zip
FastQC	all_sections	42_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/42_2_fastqc.zip
FastQC	all_sections	4_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/4_2_fastqc.zip
FastQC	all_sections	45_T41_Ac_SC_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/45_T41_Ac_SC_2_fastqc.zip
FastQC	all_sections	47_2	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/47_2_fastqc.zip
FastQC	all_sections	47_T31_Ac_JB	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/47_T31_Ac_JB_fastqc.zip
FastQC	all_sections	52_T11_Ac_II	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/52_T11_Ac_II_fastqc.zip
FastQC	all_sections	53_T21_Ac_NH	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/53_T21_Ac_NH_fastqc.zip
FastQC	all_sections	54_T42_Ac_JQ	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/54_T42_Ac_JQ_fastqc.zip
FastQC	all_sections	57_T32_Ac_NM	/glfs/brick01/gv0/putnamlab/jillashey/BIO594_FinalProject/QC/raw/57_T32_Ac_NM_fastqc.zip
