Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
11_2	11_2.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	12234498.0	0.0	15-125	42.0	58.33168424999708	119.68366164267631	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
19_T33_Ac_WK	19_T33_Ac_WK.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	19545821.0	0.0	15-50	42.0	59.71822855084387	49.93745880513282	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
1_2	1_2.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	13907431.0	0.0	15-50	41.0	58.017382607269866	49.95032288853348	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
24_T12_Ac_FM	24_T12_Ac_FM.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	13599982.0	0.0	15-50	41.0	54.39885080883372	49.98233607956246	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
25_ctl1_Ac_GF_2	25_ctl1_Ac_GF_2.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	13623962.0	0.0	15-125	43.0	60.90945686117409	123.34615547224809	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
27_ctl2_Ac_YG_2	27_ctl2_Ac_YG_2.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	14886233.0	0.0	15-125	44.0	60.17967391034631	122.9094556695438	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	pass
28_2	28_2.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	13442182.0	0.0	15-50	41.0	58.98119421190253	49.97810377809198	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
2_2	2_2.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	11610876.0	0.0	15-50	45.0	66.6221122934781	49.981072229175474	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass
31_2	31_2.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	6107.0	0.0	50.0	43.0	98.24791223186507	50.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	warn	pass
31_T22_Ac_UV	31_T22_Ac_UV.fastq.trim.fastp.fq	Conventional base calls	Sanger / Illumina 1.9	13296813.0	0.0	15-50	43.0	58.02326840946041	49.97704901166919	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
