Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
11_2	42.0365778997154	42.0	123.8474176148586	18.181818181818183	12209817.0
19_T33_Ac_WK	39.38940834559463	42.0	49.8564114494667	9.090909090909092	19493135.0
1_2	41.906981953753395	41.0	49.957430728974394	18.181818181818183	13898993.0
24_T12_Ac_FM	44.5741081814501	41.0	49.87076471966715	9.090909090909092	13569940.0
25_ctl1_Ac_GF_2	38.05913030995389	43.0	120.10397836459104	9.090909090909092	13812912.0
27_ctl2_Ac_YG_2	38.949474785016946	44.0	120.51226208193623	9.090909090909092	15032276.0
28_2	41.01991044337342	41.0	49.949399605604455	18.181818181818183	13430172.0
2_2	33.313499041248775	45.0	49.951211718504	18.181818181818183	11601003.0
31_2	1.3875123885034668	43.0	49.92054839775355	18.181818181818183	6054.0
31_T22_Ac_UV	41.84117254225384	43.0	49.95611365533482	18.181818181818183	13262941.0
35_2	46.38752158529644	41.0	49.94120909432562	18.181818181818183	18083188.0
35_T43_Ac_MT	52.32233318359809	42.0	49.868807251102616	18.181818181818183	23624545.0
36_2	40.553085593481775	42.0	49.951783655265366	18.181818181818183	16226510.0
37_T13_Ac_ML	47.3961951565958	42.0	49.87287880019206	9.090909090909092	14089255.0
38_2	40.23235698625251	42.0	49.95825106745311	18.181818181818183	15474216.0
38_T23_Ac_IN	49.740612991404895	44.0	49.86189950588843	9.090909090909092	21204725.0
39_2	43.18762257328639	42.0	123.61453980409811	18.181818181818183	14786279.0
41_2	42.65921187789557	43.0	123.84580719141286	18.181818181818183	14343023.0
41_ctl3_Ac_RN_2	41.762888670125484	44.0	120.23099299136925	9.090909090909092	15619028.0
42_2	43.765683492120566	42.0	49.894100777327274	18.181818181818183	17687788.0
45_T41_Ac_SC_2	43.00980631833512	44.0	120.41086665277138	9.090909090909092	19315902.0
47_2	38.668880763786426	42.0	49.95458392024378	18.181818181818183	11331229.0
47_T31_Ac_JB	48.376012233175636	42.0	49.86474831683911	9.090909090909092	14014406.0
4_2	39.55520321054274	43.0	123.77913933842589	18.181818181818183	13243626.0
52_T11_Ac_II	48.22424725885522	42.0	49.95123834332635	18.181818181818183	17145972.0
53_T21_Ac_NH	38.67738466198885	44.0	49.92341542092087	18.181818181818183	10130277.0
54_T42_Ac_JQ	50.097359481484524	43.0	49.956335860948926	27.27272727272727	23414821.0
57_T32_Ac_NM	38.90232703779536	44.0	49.95079805565763	18.181818181818183	11628199.0
