SampleID,Species ,AlignmentRate.AcervDeNovo,AlignmentRate.PacutaDeNovo
11_2,P.acuta,3.93,96.53
1_2,P.acuta,4.75,95.31
19_T33_Ac_WK,A.cervicornis,97.54,1.48
2_2,P.acuta,4.31,92.24
24_T12_Ac_FM,A.cervicornis,50.88,3.61
25_ctl1_Ac_GF_2,A.cervicornis,97.76,1.58
27_ctl2_Ac_YG_2,A.cervicornis,97.73,1.95
28_2,P.acuta,4.32,94.12
31_2,P.acuta,20.66,76.88
31_T22_Ac_UV,A.cervicornis,96.98,1.38
35_2,P.acuta,4.68,95.28
35_T43_Ac_MT,A.cervicornis,97.48,1.39
36_2,P.acuta,4.08,93.2
37_T13_Ac_ML,A.cervicornis,97.2,1.51
38_2,P.acuta,3.98,94.58
38_T23_Ac_IN,A.cervicornis,96.72,1.38
39_2,P.acuta,6.55,96.83
41_2,P.acuta,5.05,96.73
41_ctl3_Ac_RN_2,A.cervicornis,97.67,1.86
42_2,P.acuta,4.02,93.83
4_2,P.acuta,4.06,96.24
45_T41_Ac_SC_2,A.cervicornis,97.67,1.84
47_2,P.acuta,3.99,94.24
47_T31_Ac_JB,A.cervicornis,97.01,1.37
52_T11_Ac_II,A.cervicornis,96.88,1.68
53_T21_Ac_NH,A.cervicornis,96.68,2.01
54_T42_Ac_JQ,A.cervicornis,97.26,1.51
57_T32_Ac_NM,A.cervicornis,96.71,1.53
