ddrad	Row location	pop		epirad		pop		popmap					remaing idv from gen id
1051_1051	2	GuaL08S		1053_1053	4	GuaL08S		1051_1051	GuaL08S				1051_1051
1052_1052	3	GuaL08S		1056_1056	7	GuaL08S		1052_1052	GuaL08S				1052_1052
1054_1054	5	GuaL08S		1059_1059	8	GuaL12S		1053_1053	GuaL08S				1054_1054
1055_1055	6	GuaL08S		1061_1061	10	GuaL12S		1054_1054	GuaL08S				1055_1055
1060_1060	9	GuaL12S		1102_1102	13	HonRoaS		1055_1055	GuaL08S				1060_1060
1062_1062	11	GuaL12S		1402_1402	17	DomTerS		1056_1056	GuaL08S				1062_1062
1101_1101	12	HonRoaS		1403_1403	18	DomTerS		1059_1059	GuaL12S				1101_1101
1103_1103	14	HonRoaS		1407_1407	22	DomTerS		1060_1060	GuaL12S				1103_1103
1104_1104	15	HonRoaS		1409_1409	24	DomTerS		1061_1061	GuaL12S				1104_1104
1401_1401	16	DomTerS		1410_1410	25	DomTerS		1062_1062	GuaL12S				1401_1401
1404_1404	19	DomTerS		352_352	27	PanBasS		1101_1101	HonRoaS				1404_1404
1405_1405	20	DomTerS		356_356	30	PanBasS		1102_1102	HonRoaS				1405_1405
1406_1406	21	DomTerS		380_380	31	PanBocS		1103_1103	HonRoaS				1406_1406
1408_1408	23	DomTerS		481_481	33	PanBasS		1104_1104	HonRoaS				1408_1408
351_351	26	PanBasS		483_483	35	PanBasS		1401_1401	DomTerS				351_351
353_353	28	PanBasS		486_486	38	PanBasS		1402_1402	DomTerS				353_353
354_354	29	PanBasS		489_489	40	PanBasS		1403_1403	DomTerS				354_354
384_384	32	PanBocS		490_490	41	PanBasS		1404_1404	DomTerS				384_384
482_482	34	PanBasS		5001_5001	42	PueMedS		1405_1405	DomTerS				482_482
484_484	36	PanBasS		5007_5007	45	PueMedS		1406_1406	DomTerS				484_484
485_485	37	PanBasS		5009_5009	46	PueMedS		1407_1407	DomTerS				485_485
488_488	39	PanBasS		5010_5010	47	PueMedS		1408_1408	DomTerS				488_488
5003_5003	43	PueMedS		5051_5051	48	PueMedS		1409_1409	DomTerS				5003_5003
5006_5006	44	PueMedS		5052_5052	49	PueMedS		1410_1410	DomTerS				5006_5006
